major,Semester,Year,degree,university,top,G-V,G-Q,G-A,gpa-norm,toefl,acceptance
CS,Fall,2013,MS,Arizona State University,,,,,0.683333333,,AD
EE,Fall,2013,PhD,Arizona State University,,,,,0.875,,AD
EE,Fall,2013,MS,Arizona State University,15/211,0.75,0.75,2,0.75,102,AD
CS,Fall,2013,MS,Arizona State University,15/211,,,,,,Rej
CS,Fall,2013,MS,Arizona State University,,,,,0.8,,AD
EE,Fall,2013,MS,Arizona State University,,,,,,,AD
EE,Fall,2013,MS,Arizona State University,15/211,0.475,0.825,3,,90,AD
EE,Fall,2013,PhD,Arizona State University,15/211,0.675,0.9,4,0.95,99,Rej
EE,Fall,2013,MS,Arizona State University,,,,,0.925,,Rej
EE,Fall,2016,PhD,Arizona State University,,,,,,,AD
EE,Fall,2016,MS,Arizona State University,,,,,0.9,,AD
CS,Fall,2016,MS,Arizona State University,,,,,0.875,,Rej
CS,Fall,2016,MS,Arizona State University,,,,,,,AD
CS,Fall,2013,PhD,Arizona State University,,,,,,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.8,,AD
CS,Fall,2013,MS,Arizona State University,30/211,,,,,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.825,,AD
EE,Fall,2013,MS,Arizona State University,,,,,0.75,,AD
EE,Fall,2013,MS,Arizona State University,,0.675,0.975,4,0.9,108,AD
EE,Fall,2013,MS,Arizona State University,,,,,,,AD
EE,Fall,2013,MS,Arizona State University,,0.35,0.975,3,0.55,,AD
EE,Fall,2013,MS,Arizona State University,,,,,,,Rej
EE,Fall,2013,MS,Arizona State University,,,,,,,AD
EE,Fall,2013,PhD,Arizona State University,,,,,0.825,,AD
Mech,Fall,2013,PhD,Arizona State University,15/211,0.575,0.775,3,0.925,95,AD
CS,Spring,2012,MS,Arizona State University,,,,,0.9,,AD
CS,Fall,2012,MS,Arizona State University,,,,,0.9,,AD
CS,Fall,2012,PhD,Arizona State University,30/211,0.525,0.775,4,,100,AD
CS,Fall,2012,MS,Arizona State University,,,,,,,AD
CS,Fall,2012,PhD,Arizona State University,,0.875,0.625,3.5,0.82,107,AD
CS,Fall,2012,MS,Arizona State University,,,,,,,AD
EE,Fall,2012,MS,Arizona State University,,0.7,0.9,3,0.8125,108,AD
CS,Spring,2015,MS,Arizona State University,,0.775,0.825,3.5,0.766666667,111,AD
ECE,Spring,2015,MS,Arizona State University,,,,,0.8,,AD
Stat/Biostat,Fall,2014,MS,Arizona State University,,,,,0.675,,AD
EE,Fall,2014,MS,Arizona State University,,,,,,,AD
IEOR,Fall,2014,PhD,Arizona State University,,,,,,,AD
IEOR,Fall,2014,MS,Arizona State University,,,,,,,AD
Mech,Fall,2014,PhD,Arizona State University,15/211,,,,,,AD
CS,Fall,2014,MS,Arizona State University,,,,,0.75,,AD
Mech,Fall,2014,PhD,Arizona State University,,,,,,,AD
CS,Fall,2014,MS,Arizona State University,,,,,0.6,,Rej
CS,Fall,2014,MS,Arizona State University,,,,,,,Rej
CS,Fall,2014,MS,Arizona State University,15/211,0.425,0.9,3,0.35,96,AD
EE,Fall,2014,MS,Arizona State University,15/211,0.525,1,3,0.825,,Rej
CS,Fall,2014,MS,Arizona State University,,0.6875,0.6875,3.5,0.8,91,Rej
CS,Fall,2014,MS,Arizona State University,,,,,0.65,,AD
ECE,Fall,2014,MS,Arizona State University,15/211,0.55,1,3,0.975,,Rej
EE,Fall,2014,MS,Arizona State University,30/211,0.8,0.8,4,,109,AD
CS,Fall,2016,MS,Arizona State University,,,,,0.8,,AD
Mech,Fall,2016,PhD,Arizona State University,,,,,,,AD
